Exam prep,Duration,Level ,Exam prep URL
Exam Prep Official Practice Exam: AWS Certified Developer - Associate (DVA-C02 - English),2h 10m,Fundamental,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14196/exam-prep-official-practice-exam-aws-certified-developer-associate-dva-c02-english
Exam Prep Enhanced Course: AWS Certified Solutions Architect - Associate (SAA-C03),9h 30m,Fundamental,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14776/exam-prep-enhanced-course-aws-certified-solutions-architect-associate-saa-c03
Exam Prep Enhanced Course: AWS Certified Developer - Associate (DVA-C02),11h,Fundamental,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14723/exam-prep-enhanced-course-aws-certified-developer-associate-dva-c02
Exam Prep Enhanced Course: AWS Certified Cloud Practitioner (CLF-C02 - English),11h,Fundamental,https://explore.skillbuilder.aws/learn/course/external/view/elearning/16485/exam-prep-enhanced-course-aws-certified-cloud-practitioner-clf-c02-english
Exam Prep Official Pretest: AWS Certified Cloud Practitioner (CLF-C02 – English),1h 30m,Fundamental,https://explore.skillbuilder.aws/learn/course/external/view/elearning/18115/exam-prep-official-pretest-aws-certified-cloud-practitioner-clf-c02-english
Exam Prep Official Practice Exam: AWS Certified Cloud Practitioner (CLF-C02 - English),1h 30m,Fundamental,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14637/exam-prep-official-practice-exam-aws-certified-cloud-practitioner-clf-c02-english
Exam Prep Enhanced Course: AWS Certified Data Engineer - Associate (DEA-C01 - English),15h 25m,Fundamental,https://explore.skillbuilder.aws/learn/course/external/view/elearning/18603/exam-prep-enhanced-course-aws-certified-data-engineer-associate-dea-c01-english
Exam Prep Official Practice Exam: AWS Certified SysOps Administrator - Associate (SOA-C02 - English),3h,Fundamental,https://explore.skillbuilder.aws/learn/course/external/view/elearning/12480/exam-prep-official-practice-exam-aws-certified-sysops-administrator-associate-soa-c02-english
Exam Prep Official Practice Exam: AWS Certified Solutions Architect - Associate (SAA-C03 - English),2h 10m,Fundamental,https://explore.skillbuilder.aws/learn/course/external/view/elearning/13593/exam-prep-official-practice-exam-aws-certified-solutions-architect-associate-saa-c03-english
Exam Prep Official Pretest: AWS Certified Data Engineer - Associate (DEA-C01 - English),2h 10m,Fundamental,https://explore.skillbuilder.aws/learn/course/external/view/elearning/18609/exam-prep-official-pretest-aws-certified-data-engineer-associate-dea-c01-english
Exam Prep Official Pretest: AWS Certified Machine Learning Engineer - Associate (MLA-C01 - English),2h 10m,Fundamental,https://explore.skillbuilder.aws/learn/course/external/view/elearning/19742/exam-prep-official-pretest-aws-certified-machine-learning-engineer-associate-mla-c01-english
Exam Prep Official Practice Exam: AWS Certified Data Engineer - Associate (DEA-C01 - English),2h 10m,Fundamental,https://explore.skillbuilder.aws/learn/course/external/view/elearning/19881/exam-prep-official-practice-exam-aws-certified-data-engineer-associate-dea-c01-english
Exam Prep Official Pretest: AWS Certified AI Practitioner (AIF-C01 - English),1h 30m,Fundamental,https://explore.skillbuilder.aws/learn/course/external/view/elearning/20274/exam-prep-official-pretest-aws-certified-ai-practitioner-aif-c01-english
Exam Prep Enhanced Course: AWS Certified Machine Learning Engineer - Associate (MLA-C01 - English),12h 45m,Fundamental,https://explore.skillbuilder.aws/learn/course/external/view/elearning/19876/exam-prep-enhanced-course-aws-certified-machine-learning-engineer-associate-mla-c01-english
Exam Prep Enhanced Course: AWS Certified AI Practitioner (AIF-C01 - English),16h 30m,Fundamental,https://explore.skillbuilder.aws/learn/course/external/view/elearning/20479/exam-prep-enhanced-course-aws-certified-ai-practitioner-aif-c01-english
AWS Escape Room: Exam Prep for AWS Certified AI Practitioner (AIF-C01 - English),4h,Fundamental,https://explore.skillbuilder.aws/learn/course/external/view/elearning/20657/aws-escape-room-exam-prep-for-aws-certified-ai-practitioner-aif-c01-english
Exam Prep Enhanced Course: AWS Certified SysOps Administrator - Associate (SOA-C02),9h,Fundamental,https://explore.skillbuilder.aws/learn/course/external/view/elearning/21675/exam-prep-enhanced-course-aws-certified-sysops-administrator-associate-soa-c02
Exam Prep Enhanced Course: AWS Certified Solutions Architect - Professional (SAP-C02),10h 30m,Intermediate,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14953/exam-prep-enhanced-course-aws-certified-solutions-architect-professional-sap-c02
Exam Prep Official Practice Exam: AWS Certified DevOps Engineer - Professional (DOP-C02 - English),3h,Intermediate,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14810/exam-prep-official-practice-exam-aws-certified-devops-engineer-professional-dop-c02-english
Exam Prep Enhanced Course: AWS Certified DevOps Engineer - Professional (DOP-C02 - English),12h,Intermediate,https://explore.skillbuilder.aws/learn/course/external/view/elearning/16512/exam-prep-enhanced-course-aws-certified-devops-engineer-professional-dop-c02-english
Exam Prep Official Practice Exam: AWS Certified Solutions Architect - Professional (SAP-C02 - English),3h,Intermediate,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14048/exam-prep-official-practice-exam-aws-certified-solutions-architect-professional-sap-c02-english
Exam Prep Enhanced Course: AWS Certified Security - Specialty (SCS-C02 - English),14h 15m,Advanced,https://explore.skillbuilder.aws/learn/course/external/view/elearning/18292/exam-prep-enhanced-course-aws-certified-security-specialty-scs-c02-english
Exam Prep Official Practice Exam: AWS Certified Security - Specialty (SCS-C02 - English),3h,Advanced,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15719/exam-prep-official-practice-exam-aws-certified-security-specialty-scs-c02-english
Exam Prep Enhanced Course: AWS Certified Advanced Networking - Specialty (ANS-C01),6h,Advanced,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14773/exam-prep-enhanced-course-aws-certified-advanced-networking-specialty-ans-c01
